NOC_CODE,yhat,yhat_lower,yhat_upper
USA,125.11272298428318,121.02941687595964,129.29005588513502
CHN,94.7919572733748,90.74208395013532,98.8954136842709
JPN,50.38154554773743,46.59352980597847,54.13046425909919
AUS,54.28269463115024,50.231342050940036,58.34908061354486
FRA,64.12645128008248,59.91428106158417,67.8551331625801
NED,35.855658600341584,32.16792431103954,39.84901791895053
GBR,66.8579901436348,62.930924344634406,70.72526129180153
KOR,33.59038660707563,29.968926910534307,37.46775005565359
ITA,33.389022037402995,29.765136574799865,37.56243318350686
GER,28.136501186152437,23.924782384488164,31.659208067209974
NZL,18.65807265421372,14.708500446916453,22.4931195923887
CAN,22.449495313424176,18.493309136259334,26.39197475497917
UZB,14.502697044341096,10.73091843700519,18.49257525433211
HUN,18.3277853754334,14.576739217592483,22.164167975994822
ESP,19.459791625477923,15.413511371881645,23.405688995812724
SWE,10.251764085206709,6.3935234566002785,14.29720199917367
KEN,6.974676003357764,2.980649720761295,10.858104659133886
NOR,8.423501160935826,4.46319499930099,11.98419771961379
IRL,3.9067786951439647,0.32531230750084644,8.00218110632355
BRA,22.62230512423426,18.49567294258229,26.53727308820156
IRI,14.665814919086957,10.937709537078474,18.36259257312529
UKR,11.858206391642145,7.7918309510439965,15.75995165837675
ROU,6.863029774385669,3.0230648603262678,10.486963133673534
GEO,6.999597569298681,2.9615287980020444,11.092870710648238
BEL,10.141511931611998,6.214359037217855,13.867279841767427
BUL,7.336832722423949,3.7198102242279902,11.540919221439818
SRB,7.314859024448442,3.7994344927499117,11.216123790563051
CZE,5.071735757541644,0.9074753903728643,9.261285639988508
DEN,8.927817977959684,4.872657151757126,13.016947738368287
AZE,7.781211847004133,3.6236530481061333,11.537300587673414
CRO,6.318429029703442,2.5334523487006178,10.36927070005647
CUB,10.79100898869584,7.005896783766907,14.751867932880332
AUT,2.1630752008270058,-1.9282746332092118,5.887502714139808
PHI,3.5195801905448594,-0.3412327330702267,7.520749208274883
ISR,4.469753080995611,0.4876618527107771,8.471668875226646
POL,9.94787334722553,6.140195024195967,13.646450296993487
KAZ,7.207175937072645,3.299188961422362,11.160968265378468
JAM,4.003755033359454,-0.1255951309729156,7.317388940311838
RSA,7.276687380868754,3.545257800851587,11.092308853354801
THA,6.587945259249368,2.892168903642914,10.724172858403849
ETH,2.4899303678102154,-1.5684982435293695,6.259807487633896
SUI,6.002663732029596,1.9268040740012995,10.12055462235349
ECU,5.270268292954613,1.141690876035172,9.3530444713149
POR,3.3564191496724654,-0.464094576179549,7.435228792282219
GRE,5.5940007460468895,1.616900336158506,9.374235080393229
ARG,1.2995735992687028,-2.6279682903139063,5.10516634953522
EGY,3.719678960093926,-0.339614165719223,7.938178850975352
TUN,2.8827992943680734,-1.22776453871739,6.768768540497142
CHI,1.9357550078531958,-2.0392800283788755,5.839380574114621
LCA,1.1897739702466072,-2.76936980160697,4.955428506511212
UGA,1.4244746813324873,-2.389235673772351,5.140479263185234
